Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,1033,1,0.039753787348010605,0.0,0.0,0.030559123895501788,0.0,0.0
2,1794,2,0.047746526506089335,0.0,0.0,,,
3,2715,3,0.030901856928738,0.0,0.0,,,
4,3748,4,0.030113944497705998,0.0,0.0,,,
5,4549,5,0.0351353469019683,0.0,0.0,,,
6,4758,6,0.04497567783596074,0.0,0.0,,,
7,5375,7,0.03375119781284707,0.0,0.0,,,
8,6152,8,0.02951748579954265,0.0,0.0,,,
9,6937,9,0.02851402855872877,0.0,0.0,0.03178312514335804,0.0,0.0
10,8698,10,0.021139057916526573,0.0,0.0,,,
11,8779,11,0.09688583630416542,0.0,0.0,,,
12,9436,12,0.03337977231923483,0.0,0.0,,,
13,10349,13,0.022047030598889628,0.0,0.0,,,
14,11126,14,0.030365397448867484,0.0,0.0,,,
15,11903,15,0.03065255446686,0.0,0.0,,,
16,13272,16,0.029338158279533674,0.0,0.0,,,
17,13761,17,0.034104447003443415,0.0,0.0,0.027751764792402205,0.0,0.0
18,14074,18,0.03587881899514613,0.0,0.0,,,
19,14803,19,0.031992751555296045,0.0,0.0,,,
20,16764,20,0.028448277672212908,0.0,0.0,,,
21,17845,21,0.026264080611144654,0.0,0.0,,,
22,18630,22,0.029093334519268012,0.0,0.0,,,
23,19359,23,0.03220373622673263,0.0,0.0,,,
24,20112,24,0.03031495158017059,0.0,0.0,,,
25,21665,25,0.019020407018887884,0.0,0.0,0.03126733066514698,0.0,0.0
